제목,URL,게시자,구독자 수,게시일,좋아요 수,댓글 수
유튜브 자기소개서 4번째 지원자는 인턴에 합격하였습니다,https://brunch.co.kr/@parisboys/196,상업용 부동산 글을 쓰는 민성식입니다,"1,057",2020.09.17,12,0
"좋은 이력서, 자기소개서 작성하는 방법",https://brunch.co.kr/@myjun160514/14,마이준,3,2023.04.04,9,0
SK온 2023년 상반기 수시 채용과 자기소개서 작성,https://brunch.co.kr/@clearthinking/495,브레인튜너,164,2023.05.31,13,0
란의 글쓰기 노트 19,https://brunch.co.kr/@leeran929/35,이란,7,2023.06.25,8,0
0. 자기소개서 쓰기는 사실 재밌습니다.,https://brunch.co.kr/@idoleeeeee/9,아이돌리,16,2023.03.25,6,0
챗GPT로 자기소개서 쓰면 X되는 이유,https://brunch.co.kr/@mingzi93/130,남현우 대표,149,2023.03.23,8,0
"자기소개서는 미리 쓰고, 자주 수정해야 한다",https://brunch.co.kr/@mail0/105,임용,193,2023.04.28,12,0
2. 자기소개서는 면접까지 가기 위한 수단입니다.,https://brunch.co.kr/@idoleeeeee/8,아이돌리,16,2023.03.25,14,0
"자기소개서 하나로 연봉 1,000만 원 올리는 방법",https://brunch.co.kr/@mingzi93/128,남현우 대표,149,2023.02.11,9,0
33번째 기업 자기소개서 수정,https://brunch.co.kr/@f82919024e1a447/785,하얀 얼굴 학생,57,2022.11.26,9,0
자기소개서 쓰는 법,https://brunch.co.kr/@sjraintree/163,손정 강사 작가,131,2022.12.04,8,0
"자기소개서 문항별 작성법
(나의 장, 단점)",https://brunch.co.kr/@8309fa1ab38b45a/18,최지우,33,2023.04.25,11,0
이력서와 자기소개서 작성의 필수요소,https://brunch.co.kr/@ysb8460/120,윤승범,77,2023.05.08,4,0
자기소개서 작성 순서,https://brunch.co.kr/@3f909cf4e264431/3,문설의 첨삭연구소,1,2022.09.27,4,0
차별화된 자기소개서,https://brunch.co.kr/@supportship/82,Ohgooni,74,2023.04.04,9,0
